MODEL,DATASET,SAMPLE,LABELS,ISROAD,CLASS,PRECISION,RECALL,F1SCORE,KAPPA,TRAINTIME,PREDICTTIME,FSELECTOR,NFEATURES
SGD,3,3877325,3,False,5,0.9356032061382475,0.8857254037226798,0.909981343283582,0.5893680896407498,173.0951373577118,1.7539288997650146,None,143
XGB,2,3877325,1,False,1,0.8487929699336723,0.6980672315445534,0.7660867583377649,0.820145886868183,1350.9424583911896,84.27170872688293,None,140
XGB,2,3877325,1,False,2,0.9840751824348085,0.9934234154589106,0.9887272029866484,0.820145886868183,1350.9424583911896,84.27170872688293,None,140
XGB,2,3877325,1,False,3,0.9775994650618522,0.948180815876516,0.9626654375452691,0.820145886868183,1350.9424583911896,84.27170872688293,None,140
RF,2,3877325,1,False,1,0.7491601679664067,0.6916154399955696,0.7192386327641317,0.777913729722602,13913.769000530243,31.084999799728394,None,140
RF,2,3877325,1,False,2,0.9834493192133131,0.9877529933750684,0.9855964582448905,0.777913729722602,13913.769000530243,31.084999799728394,None,140
RF,2,3877325,1,False,3,0.9558069883527455,0.9313833581944354,0.9434371304690579,0.777913729722602,13913.769000530243,31.084999799728394,None,140
SVM,2,100000,1,False,1,0.8201834862385321,0.48012889366272826,0.6056910569105691,0.6999227336259424,172.17496252059937,21.134000539779663,None,140
SVM,2,100000,1,False,2,0.9721059242202219,0.994858336457608,0.9833505386590434,0.6999227336259424,172.17496252059937,21.134000539779663,None,140
SVM,2,100000,1,False,3,0.9769452449567724,0.8517587939698492,0.9100671140939597,0.6999227336259424,172.17496252059937,21.134000539779663,None,140
DNN,2,3877325,1,False,1,0.8495923913043478,0.519438444924406,0.644705639756676,0.733572036405551,5324.668083190918,14.185999393463135,None,140
DNN,2,3877325,1,False,2,0.975461644838526,0.9938516324737683,0.9845707732813689,0.733572036405551,5324.668083190918,14.185999393463135,None,140
DNN,2,3877325,1,False,3,0.9130022144890857,0.9358583565730592,0.9242890084550345,0.733572036405551,5324.668083190918,14.185999393463135,None,140
XGB,4,3877325,4,False,1,0.7317250901280969,0.6635250747722056,0.6959582694973371,0.6290211980539714,1808.6820468902588,113.73512482643127,None,144
XGB,4,3877325,4,False,2,0.6571774682010902,0.1333046656632982,0.2216490896555246,0.6290211980539714,1808.6820468902588,113.73512482643127,None,144
XGB,4,3877325,4,False,3,0.9530377668308703,0.9925158269510366,0.9723762637892613,0.6290211980539714,1808.6820468902588,113.73512482643127,None,144
XGB,4,3877325,4,False,4,0.974720596061735,0.9547764889873582,0.9646454671143592,0.6290211980539714,1808.6820468902588,113.73512482643127,None,144
RF,4,3877325,4,False,1,0.6153316861101554,0.6842178479515894,0.6479490177351095,0.6002622560122439,25324.77393937111,129.5243489742279,None,144
RF,4,3877325,4,False,2,0.6204549227959488,0.11478330312989526,0.19372731985484706,0.6002622560122439,25324.77393937111,129.5243489742279,None,144
RF,4,3877325,4,False,3,0.9532766830654285,0.9851990818651188,0.9689750368925917,0.6002622560122439,25324.77393937111,129.5243489742279,None,144
RF,4,3877325,4,False,4,0.9474442988204456,0.9421347582431904,0.9447820688753839,0.6002622560122439,25324.77393937111,129.5243489742279,None,144
XGB,1,3877325,1,False,1,0.8317462726203574,0.6070775876391428,0.7018712083620124,0.7715364772310237,667.36261677742,3.393000602722168,None,44
XGB,1,3877325,1,False,2,0.979226530773442,0.9932535099981766,0.9861901450658811,0.7715364772310237,667.36261677742,3.393000602722168,None,44
XGB,1,3877325,1,False,3,0.9651445555255337,0.9266489396199494,0.9455050789134103,0.7715364772310237,667.36261677742,3.393000602722168,None,44RF,1,3877325,1,False,1,0.7211432391776701,0.5973583651769397,0.6534401550833725,0.7281916433868091,6376.699460029602,32.98505640029907,None,44
RF,1,3877325,1,False,2,0.9785923384258968,0.9872626158257958,0.9829083572741938,0.7281916433868091,6376.699460029602,32.98505640029907,None,44
RF,1,3877325,1,False,3,0.9330439358063668,0.9200337246254621,0.9264931587368971,0.7281916433868091,6376.699460029602,32.98505640029907,None,44
SGD,1,3877325,1,False,1,0.44551018006355186,0.6289250706097358,0.5215624138881234,0.5650906086938529,32.98900008201599,0.2110004425048828,None,44
SGD,1,3877325,1,False,2,0.981609267716558,0.9483100622710421,0.964672389493194,0.5650906086938529,32.98900008201599,0.2110004425048828,None,44
SGD,1,3877325,1,False,3,0.5648970488669401,0.919904014527531,0.6999605211212002,0.5650906086938529,32.98900008201599,0.2110004425048828,None,44
SVM,1,100000,1,False,1,0.8087855297157622,0.33619763694951665,0.4749620637329287,0.6165224558690101,79.63399863243103,7.378026485443115,None,44
SVM,1,100000,1,False,2,0.9649841780360014,0.9963044293289058,0.9803942236745019,0.6165224558690101,79.63399863243103,7.378026485443115,None,44
SVM,1,100000,1,False,3,0.9702380952380952,0.8190954773869347,0.888283378746594,0.6165224558690101,79.63399863243103,7.378026485443115,None,44
DNN,1,3877325,1,False,1,0.7535729099890645,0.5533588082184194,0.6381300592339502,0.7168215926029022,4337.123545408249,15.152999877929688,None,44
DNN,1,3877325,1,False,2,0.9760241556223519,0.9899203240083323,0.9829231276715832,0.7168215926029022,4337.123545408249,15.152999877929688,None,44
DNN,1,3877325,1,False,3,0.9374447541986809,0.8941565600882029,0.9152891190333932,0.7168215926029022,4337.123545408249,15.152999877929688,None,44
XGB,3,3877325,1,False,1,0.8619825995254417,0.7242620590352772,0.787143759968702,0.8359805830010629,1361.2044522762299,85.34030318260193,None,143
XGB,3,3877325,1,False,2,0.985502858880612,0.9937715144516336,0.989619915017009,0.8359805830010629,1361.2044522762299,85.34030318260193,None,143
XGB,3,3877325,1,False,3,0.9761164406218987,0.9568713924379013,0.9663981135783062,0.8359805830010629,1361.2044522762299,85.34030318260193,None,143
RF,3,3877325,1,False,1,0.7607783979484085,0.6982333720994628,0.728165292597352,0.7853557363908833,24386.35197854042,76.56395888328552,None,143
